raymond_cp,cipla_cp,fortis_cp,jet_cp,titan_cp
802.55,641.05,142.95,308.3,921.5
812.5,637.95,145.95,307.25,919.2
797.15,629.45,147.85,304.6,901.65
778.8,632.55,146.6,294.2,927.25
790.25,619.15,142.5,301.75,935.0
788.45,621.05,140.8,276.1,915.3
784.25,628.3,140.9,286.6,920.1
764.7,642.75,145.05,283.45,913.65
771.4,648.35,146.05,300.25,925.6
795.6,646.9,148.45,300.9,919.45
779.6,643.85,150.15,301.4,941.55
783.85,650.25,150.2,292.5,921.7
801.85,657.95,149.5,282.1,916.3
806.0,651.2,148.6,275.85,911.9
820.15,659.6,149.4,282.25,885.35
824.4,648.3,149.5,295.45,890.9
826.9,643.5,149.85,291.3,888.3
846.65,649.45,148.95,286.95,882.8
843.25,662.15,148.65,282.55,878.35
839.25,649.1,146.6,285.5,891.9
805.75,643.9,149.15,271.6,912.75
788.15,646.55,146.4,266.5,880.9
795.85,662.1,145.85,274.2,863.9
807.9,664.75,145.8,275.85,867.15
788.6,668.05,146.35,278.75,867.45
779.1,654.9,145.3,269.8,857.55
783.4,656.45,143.65,264.9,820.75
794.35,666.4,143.9,266.5,826.45
798.8,664.9,144.85,265.25,842.6
785.55,663.7,144.85,253.85,823.45
774.95,660.6,141.8,243.15,824.9
752.45,653.2,142.0,229.45,823.6
727.3,645.6,137.25,213.7,800.6
721.25,661.75,136.55,192.45,791.1
727.55,672.8,136.35,192.05,796.85
701.65,659.35,132.05,183.4,814.7
663.4,654.05,134.45,180.1,821.45
668.6,654.15,134.95,171.35,805.6
667.1,654.55,135.35,177.2,809.75
660.0,638.4,136.25,197.1,794.5
656.35,636.65,134.4,182.4,776.7
632.9,638.8,134.7,180.95,792.1
600.45,639.35,132.85,175.75,813.55
651.7,639.6,132.75,189.05,749.5
632.0,616.2,131.85,191.2,788.55
662.9,622.9,131.95,200.75,778.9
672.9,647.85,134.1,201.75,805.15
673.35,639.75,138.75,219.0,807.2
639.75,640.45,137.2,216.55,810.6
640.15,633.8,132.95,229.7,800.1
627.55,629.65,131.3,211.6,788.7
617.95,622.35,131.25,212.75,774.8
643.1,621.3,127.4,220.65,778.2
618.3,609.0,132.95,229.15,791.6
692.2,603.7,129.85,217.1,791.25
745.35,635.15,129.25,214.2,806.9
745.65,610.35,130.35,236.0,829.75
752.55,629.25,134.15,221.9,830.5
764.6,615.4,140.35,224.6,844.6
758.65,607.1,140.75,229.15,854.45
758.05,563.05,138.5,251.2,871.0
750.8,530.8,140.9,256.0,863.7
755.15,533.35,141.3,258.8,846.25
766.05,526.95,141.65,257.45,850.15
765.85,531.85,140.35,242.25,847.65
772.3,528.1,139.6,254.65,894.75
765.05,519.55,141.7,257.9,897.5
765.3,519.15,140.5,320.9,892.2
774.45,530.6,143.75,346.5,920.8
782.1,528.25,146.5,322.7,921.35
789.1,520.7,148.7,310.35,920.55
804.5,522.15,147.5,318.7,915.45
814.85,517.95,146.55,308.4,926.55
808.15,522.1,146.4,302.15,915.75
816.35,517.65,147.1,293.6,916.4
816.45,515.3,146.15,308.4,914.3
826.2,524.7,146.05,311.2,922.95
809.5,540.85,147.55,305.7,931.4
803.45,535.8,147.7,306.05,927.1
812.65,546.45,147.8,303.2,936.25
799.2,528.45,148.45,286.6,923.8
773.0,515.3,147.85,277.7,920.25
790.2,513.6,147.4,276.25,905.75
763.9,512.55,147.1,257.65,916.6
789.8,518.7,150.05,251.35,907.1
813.5,531.3,150.85,258.45,933.15
864.25,527.0,152.85,251.95,929.95
849.65,521.75,151.6,259.9,944.15
857.15,523.65,141.45,249.95,931.5
852.3,522.9,137.05,245.8,935.3
853.4,524.75,136.15,246.15,933.0
858.15,520.25,137.15,252.15,929.2
859.5,516.65,135.55,252.65,926.75
834.7,518.8,134.95,252.05,900.05
833.65,514.3,134.95,268.8,879.85
827.7,517.9,135.2,270.55,889.15
837.05,522.0,134.15,276.6,887.65
844.75,519.5,137.4,277.45,922.7
842.95,523.05,140.5,280.8,931.0
817.3,514.55,140.2,263.55,928.0
